Ramp,triggered,trigger_points,reach_previous_9_10,reached_previous,max_current
Ramp 1,yes,"[-8.10439, -7.29349, -5.9109898, -4.83739, -4.24249, -3.6989899, -3.0147898, -2.43099, -1.6677899, -0.75219, -0.074889995]",N/A,,7530
Ramp 2,yes,"[-28.1337, -25.3406, -23.952099, -23.392, -20.668, -19.4495, -10.3334, -6.6449]",-57.35,-19.7,7924
Ramp 3,yes,"[-9.6339, -7.6225996, -6.9283, -6.0299997, -5.3178, -4.7251, -3.326, -2.8137999, -1.4969, -0.5563]",-56.62,-17,8264
Ramp 4,yes,[-6.9467998],-47.62,-6.3,8390
Ramp 5,yes,"[-10.373099, -1.8928, -1.2480999, -0.62659997]",-44.5,-2.55,8441
Ramp 6,yes,"[-3.6125998, -1.8406999, -1.05, -0.0176]",-45,-2.8,8497
Ramp 7,yes,"[-3.3479998, -2.6469998, -2.0161, -1.0834, -0.52169997]",-48.635,-6.15,8620
Ramp 8,yes,"[-1.8632, -0.1069]",-45.3,-2.2,8664
Ramp 10,no,,-46.33,-2.75,8771
Ramp 11,yes,"[-2.1239, -1.3987, -0.40559998]",-45.805,-1.95,8810
Ramp 12,yes,"[-9.573999, -8.625899, -8.1044, -7.2935, -6.5983, -5.911, -4.8374, -4.2426, -3.699, -2.9743, -2.431, -1.668, -0.7522, -0.0749]",-49,-4.95,8909
Ramp 14,yes,-0.015000,-41,4,8940
Ramp 15,yes,[-0.1059],-49.25,-4.55,9031
Ramp 17,yes,"[-0.7596, -0.0034999999]",-47.32,-2,9104
Ramp 18,yes,"[-7.0965, -3.2136, -1.8919, -0.8609]",-47.72,-2,9148
Ramp 19,yes,"[-1.0781, -0.3664]",-47.89,-2.15,9191
Ramp 20,no,,-45.655,0,9185
Ramp 21,yes,[-0.12109999],-47,-1,9209
Ramp 22,yes,[-0.6466],-48,-2,9252
Ramp 23,yes,"[-2.5769, -1.135, -0.3451]",-48,-2,9296
Ramp 24,no,,-46,1,9284
Ramp 25,no,,-47,-1,9296
Ramp 27,yes,"[-14.9915, -2.952, -2.4463, -0.7721]",-49,-2,9349
Ramp 28,no,,-46,0,9341
Ramp 29,yes,"[-2.2337, -0.8545, -0.226]",-49,-2,9389
Ramp 30,yes,"[-18.483799, -1.9281, -0.093499996]",-49,-3,9445
Ramp 31,yes,"[-2.9710999, -1.3965, -0.8849, -0.1519]",-48,-1,9466
Ramp 32,yes,"[-2.5678, -1.4856, -0.7345, -0.0213]",-49,-2,9494
Ramp 33,yes,"[-15.5042, -6.415, -5.6965, -3.0712, -1.9908999, -1.3476, -0.32209998]",-51,-3,9559
Ramp 34,yes,"[-16.3844, -7.3403997, -5.0676, -2.9650998, -2.2923, -0.42729998]",-47,0,9556
Ramp 35,yes,[-0.0677],-48,0,9574
Ramp 36,yes,"[-5.1217, -1.5491999, -0.3737]",-49,-1,9604
Ramp 37,yes,"[-9.2028, -7.284, -1.0619999, -0.47869998]",-50,-2,9650
Ramp 38,yes,[-0.5198],-49,-1,9665
Ramp 39,yes,[-0.89089996],-50,-2,9709
Ramp 40,yes,"[-11.0868, -6.2345, -1.2544, -0.53459996]",-50.495,-1.95,9748
Ramp 41,yes,"[-19.8829, -10.6746, -4.2517]",-49.19,-1,9757
Ramp 42,yes,"[-13.0497, -0.5937]",-49.235,-0.5,9766
Ramp 43,yes,"[-6.9467998, -3.9587998, -3.3423998, -2.666, -1.3766999, -0.6513]",-49.98,-1.15,9789
Ramp 44,yes,"[-12.159699, -7.0990996, -4.4539, -3.8628, -3.0742, -1.9646, -1.0057, -0.249]",-50,-1,9816
Ramp 45,yes,"[-18.838, -3.7264998, -1.2109, -0.6502, -0.1209]",-50,-1,9846
Ramp 46,no,,-50,0,9831
Ramp 47,no,,-50,-1,9854
Ramp 48,no,,-48,0,9841
Ramp 49,no,,-50,-1,9861
Ramp 50,no,,-49,0,9862
Ramp 53,no,,-50,-2,9905
Ramp 54,no,,-50,0,9906
Ramp 55,yes,[-6.4923997],-50,0,9909
Ramp 56,yes,"[-6.6898, -0.0049]",-50,-2,9932
Ramp 57,yes,[-0.5082],-51.21,-1.55,9963
Ramp 79,yes,"[-7.7057, -4.2788997, -2.5035, -1.2455, -0.4053]",-40,-13.7,9752
Ramp 80,yes,[-0.8048],-113.42,-15.9,9911
Ramp 81,no,,-33,16.55,9580
Ramp 82,no,,-44,2,9513
Ramp 84,no,,-26,21.55,9082
Ramp 85,no,,-35.81,9.6,8890
Ramp 86,no,,-40,0,8886